id,number,description,creation_date,file,created_at,reference,admin_id,coordinates,expires_at,limit,status
,92781729,"BALUMUCA, RUA DA HOSPEDARIA LUMIZANDRA 2, NO BAIRRO BOA ESPERANÇA.",7/5/2025,,,CACUACO-N92781729-2025-PT2,39,,,1,livre
,92781747,"PEDONAL DA VERDINHA, SENTIDO VILA DE CACUACO BALUMUCA, NO BAIRRO BOA ESPERANÇA",7/5/2025,,,CACUACO-N92781747-2025-PT3,39,,,1,livre
,92781770,"RUA DO WADADAME, PRÓXIMO À PADARIA, NO BAIRRO BOA ESPERANÇA.",7/5/2025,,,CACUACO-N92781770-2025-PT4,39,,,1,livre
,92781786,"RUA DO WADADAME, ENTRADA DA HOLLYWOOD, NO  BAIRRO BAO ESPERANÇA.",7/5/2025,,,CACUACO-N92781786-2025-PT5,39,,,1,livre
,92781906,"RUA DO WADADAME, PRÓXIMO AO FONTENÁRIO CHAFARIZ DE ÁGUA.",7/5/2025,,,CACUACO-N92781906-2025-PT19,39,,,1,livre
,92781958,"RUA DO COLÉGIO TUZIZILA, NO BAIRRO AUGUSTO NGANGULA.",7/5/2025,,,CACUACO-N92781958-2025-PT25,39,,,1,livre
,92781982,"RUA DO MERCADO DO KIKOLO, PRÓXIMO À PARAGEM DAS CANAS.",7/5/2025,,,CACUACO-N92781982-2025-PT26,39,,,1,livre
,92782050,"RUA DAS CENTENA, NO BAIRRO AUGUSTO NGANGULA.",7/5/2025,,,CACUACO-N92782050-2025-PT27,39,,,1,livre
,92782108,"RUA DO MERCADO DO KIKOLO, PRÓXIMO À PARAGEM DE TAXI PARA CAXITO.",7/5/2025,,,CACUACO-N92782108-2025-PT6,39,,,1,livre
,92782215,"ESTRADA DIREITA DE CACUACO, SENTIDO BOA ESPERANÇA",7/5/2025,,,CACUACO-N92782215-2025-PT7,39,,,1,livre
,93,"BAIRRO NOVA URBANIZAÇÃO, RUA DE ACESSO À ENTRADA DO HOSPITAL.",7/5/2025,,,CACUACO-N93-2025-PT17,39,,,1,livre
,94,"BAIRRO NOVA URBANIZAÇÃO, NOS ARREDORES DO HOSPITAL MUNICIPAL.",7/5/2025,,,CACUACO-N94-2025-PT18,39,,,1,livre
,95,"ECOCAMPO, JUNTO À ESQUADRA DE POLÍCIA, DE  FRONTE AO ARREIOU.",7/5/2025,,,CACUACO-N95-2025-PT19,39,,,1,livre
,96,"BAIRRO NOVA URBANIZAÇÃO, NAS IMEDIAÇÕES DO ERMELTA.",7/5/2025,,,CACUACO-N96-2025-PT20,39,,,1,livre
,96383784,"PEDONAL DO BALUMUCA, SENTIDO OPOSTO AO RESTOURANTE M-M.",9/6/2025,,,CACUACO-N96383784-2025-PT8,39,,,1,livre
,96384726,"ESTRADA DIREITA DE CACUACO, ENTRADA DA RUA DA HOSPEDARIA LUMIZANDRA.",9/6/2025,,,CACUACO-N96384726-2025-PT9,39,,,1,livre
,96385531,"RUA DA CONDUTA, PRÓXIMO À PLACA DE TAXI PREÇO DA FAMA.",9/6/2025,,,CACUACO-N96385531-2025-PT10,39,,,1,livre
,96385583,"RUA DO CENTRO DO MAPTSS, ATRÁS DA IGREJA IBA.",9/6/2025,,,CACUACO-N96385583-2025-PT11,39,,,1,livre
,96385626,"RUA DA CONDUTA , PARAGEM DO TIO ABEL.",9/6/2025,,,CACUACO-N96385626-2025-PT12,39,,,1,livre
,96385737,"ESTRADA DIREITA DE CACUACO, PEDONAL DO COLÉGIO SACRINOR.",9/6/2025,,,CACUACO-N96385737-2025-PT14,39,,,1,livre
,96385801,RUA DA PRACINHA DA COMBWESSA.,9/6/2025,,,CACUACO-N96385801-2025-PT15,39,,,1,livre
